"filename", "language", "YAML", "JSON", "Markdown", "JavaScript", "Docker", "XML", "HTML", "CSS", "comment", "blank", "total"
"/Users/omkar/Documents/Project/reservation_app/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/Users/omkar/Documents/Project/reservation_app/frontend/src/index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/omkar/Documents/Project/reservation_app/frontend/src/logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/omkar/Documents/Project/reservation_app/frontend/src/pages/AuthPage.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 0, 8, 20, 178
"/Users/omkar/Documents/Project/reservation_app/frontend/src/pages/FacilityOwnerProfile.js", "JavaScript", 0, 0, 0, 89, 0, 0, 0, 0, 2, 17, 108
"/Users/omkar/Documents/Project/reservation_app/frontend/src/pages/HomePage.js", "JavaScript", 0, 0, 0, 173, 0, 0, 0, 0, 6, 30, 209
"/Users/omkar/Documents/Project/reservation_app/frontend/src/pages/LandingPage.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 13, 91
"/Users/omkar/Documents/Project/reservation_app/frontend/src/pages/RegisterGround.js", "JavaScript", 0, 0, 0, 214, 0, 0, 0, 0, 2, 36, 252
"/Users/omkar/Documents/Project/reservation_app/frontend/src/pages/ReservationPage.js", "JavaScript", 0, 0, 0, 226, 0, 0, 0, 0, 11, 33, 270
"/Users/omkar/Documents/Project/reservation_app/frontend/src/pages/ReserveeProfile.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 1, 13, 101
"/Users/omkar/Documents/Project/reservation_app/frontend/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/omkar/Documents/Project/reservation_app/frontend/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/Users/omkar/Documents/Project/reservation_app/generate.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/omkar/Documents/Project/reservation_app/package-lock.json", "JSON", 0, 2690, 0, 0, 0, 0, 0, 0, 0, 1, 2691
"/Users/omkar/Documents/Project/reservation_app/package.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"Total", "-", 32, 23680, 9, 1975, 14, 1, 20, 1248, 207, 664, 27850
